id;name;brand;regular_price;discount_price
81948938;Керамогранит Quadro Decor Соль-Перец 30x30 см 1.44 м2 неполированный цвет светло-серый;QUADRO DECOR;550;
89354194;Глазурованный керамогранит Estima Melody Marble МО102 60x120 см 1.44 м² неполированный цвет бело-бежевый;ESTIMA;2150;
89396429;Глазурованный керамогранит Arcadia Ceramica Elite Mist Sugar 60x60 см 1.44 м² лаппатированный цвет бежевый;ARCADIA CERAMICA;1916;
82634472;Глазурованный керамогранит Kerama Marazzi Боско SG410420N 20.1x50.1 см 1.41 м² матовый цвет тёмно-серый;KERAMA MARAZZI;1124;
89417061;Керамогранит 60x120 ag antique beige бежевый п 1.44 м²;;1907;
18735021;Глазурованный керамогранит Kerama Marazzi Бергамо 30x60 см 1.62 м² матовый цвет серо-бежевый;KERAMA MARAZZI;1406;1140
86354565;Керамогранит Incolor Alicante 60x120x0.9 см 1.44 м² полированный цвет серый;INCOLOR;2446;1848
83733056;Керамогранит Estima Solo SO01 40.5x40.5 см 1.804 м² неполированный цвет серый;ESTIMA;1196;
89398194;Глазурованный керамогранит Cersanit Soft 17679 44.8x89.8 см 1.206 м² матовый цвет светло-серый;CERSANIT;1887;1788
87747793;Керамогранит Alma Ceramica Stella 60x60 см 1.8 м² матовый цвет коричневый;ALMA CERAMICA;1554;
89143832;Керамогранит LB Ceramics Тимбер 45x45 см 1.62 м² матовый цвет серый;LB CERAMICS;1058;998
83715789;Керамогранит Calacatta Superb 60x60 см 1.44 м² матовый цвет белый;LAPARET;1805;1710
89380726;Глазурованный керамогранит Kerama Marazzi Маджента SG414620N 20.1x50.2 см 1.41 м² матовый цвет светло-серый;KERAMA MARAZZI;1124;787
86711032;Керамогранит Alma Ceramica Oxide 60x60 см 1.8 м² матовый цвет бежево-голубой;ALMA CERAMICA;1505;
89385811;Глазурованный керамогранит Eternal Onyx Blue 60x60 см 1.44 м² глянцевый цвет голубой;;1631;
89396428;Глазурованный керамогранит Arcadia Ceramica Borghini Silver Carving 60x60 см 1.44 м² матовый цвет белый;ARCADIA CERAMICA;2018;1503
89398553;Глазурованный керамогранит Керамин Салерно 7 60x60 см 1.44 м² матовая цвет серый;КЕРАМИН;1884;
89419147;Глазурованный керамогранит Шахтинская плитка Алтай 40x40 см 1.76 м² матовый цвет бежевый;ШАХТИНСКАЯ ПЛИТКА;897;
89416691;Керамогранит Tanto 45x45 см 1.62 м² цвет серый;;1213;
82595118;Керамогранит Incolor Piemont 60x120x0.9 см 1.44 м² полированный цвет серый;INCOLOR;1891;
89353840;Глазурованный керамогранит Ceradim Calacatta Faro 120x60 см 1.44 м² полированный цвет белый;CERADIM;1946;
86354564;Керамогранит Incolor California 60x120 см 1.44 м² полированный цвет белый;INCOLOR;2446;1848
86922439;Ступень Urban Marrone 30x33 см цвет бежевый 1 шт.;;2013;
82760350;Керамогранит Incolor Imperial 60x60x0.9 см 1.44м² полированный цвет серый;INCOLOR;1485;
89385812;Глазурованный керамогранит Eternal Arascato Stone 60x60 см 1.44 м² глянцевый цвет серый;;1631;
89340440;Глазурованный керамогранит Kerama Marazzi Лоди SG648820R 59.5x59.5 см 1.8 м² матовый цвет черный;KERAMA MARAZZI;1647;
82229964;Керамогранит Шахтинская Плитка Техногрес 60x60x1 см 1.44 м² матовый цвет светло-серый;ШАХТИНСКАЯ ПЛИТКА;1017;862
85942009;Керамогранит LB Ceramics Бьянка Каррара 45x45x0.8 см 1.62 м² матовый цвет белый;LB CERAMICS;1101;
83882076;Керамогранит Ecogres EcoGamma EM10 60x60 см 1.44 м² неполированный цвет черный;ECOGRES;1328;
89385808;Глазурованный керамогранит Eternal Arascato Carrara 60x60 см 1.44 м² глянцевый цвет серо-белый;;1631;
89420201;Глазурованный керамогранит Gracia Ceramica Smoke 12.5x50 см 0.875 м² гладкий цвет серый;GRACIA CERAMICA;968;
89356612;Керамогранит Leopard Travertino Crema 120x60 см 1.44 м² полированный цвет бежевый;LEOPARD;2043;
89383786;Глазурованный керамогранит Arcadia Ceramica Cement Gris 60x120 см 1.44 м² матовый цвет серый;ARCADIA CERAMICA;1844;1654
88792350;Глазурованный керамогранит Kerama Marazzi Матэра SG414220N 20.1x50.2 см 1.41 м² матовый цвет натуральный;KERAMA MARAZZI;1091;
89417065;Керамогранит 60x120 ag oracle бежевый п 1.44 м²;;2103;
88053655;Глазурованный керамогранит Progress Лава 45x45 см 1.215 м² матовый светло-коричневый;PROGRESS;1290;
92096528;Керамогранит Estima Nolana NL00 80x80 см 1.28 м² неполированный цвет белый, цена за упаковку;ESTIMA;3995;
89396424;Глазурованный керамогранит Arcadia Ceramica Pulpis Nero Glossy 60x60 см 1.44 м² глянцевый цвет серый;ARCADIA CERAMICA;1763;1058
85882311;Керамогранит LB Ceramics Форсса 30x60.3 см 1.44 м² матовый цвет серый;LB CERAMICS;1108;
86711031;Керамогранит Alma Ceramica Laurent 60x60x0.9 см 1.8 м² матовый цвет бело-серый;ALMA CERAMICA;1610;
89107203;Керамогранит Estima Rock RC03 40.5x40.5 см 1.804 м² неполированный цвет коричневый;ESTIMA;1135;
84614067;Керамогранит Estima Brigantina BG03 14.6x60 см 1.31 м² неполированный цвет серый бежевый;ESTIMA;1462;
88945135;Ступень угловая Nevada Emperador 33x33 см цвет коричневый 1 шт.;;5181;
82152693;Керамогранит Estima Standart ST02 30x30 см 1.53 м² неполированный цвет бежевый;ESTIMA;677;
92142451;"Керамогранит Mainzu Travertine PT03692 15x15см цвет бежевый;светло-бежевый";MAINZU;3868.69;
89369386;Глазурованный керамогранит Bronx-09 60x60 см 1.8 м² матовый цвет серый;;1636;1524
87204737;Глазурованный керамогранит Incolor Azteca 60x120 см 1.44 м² матовый цвет белый;INCOLOR;2446;1848
89353837;Глазурованный керамогранит Ceradim Calacatta Goddes 120x60 см 1.44 м² полированный цвет золотой;CERADIM;1946;
89354200;Глазурованный керамогранит Estima Jam JA01 40.5x40.5 см 1.804 м² неполированный цвет бежевый/зеленый с принтом;ESTIMA;1306;
89417059;Керамогранит 60x60 ag spinner black черный п 1.44 м²;;2008;
83762992;Керамогранит Incolor Hermes 60x60 см 1.44 м2 полированный цвет белый;INCOLOR;1796;1485
89390157;Глазурованный керамогранит Concrete Grey 60x60 см 1.44 м² матовый цвет серый;;2114;
88945130;Ступень Stone Gris 33x33 см цвет серый 1 шт.;;1517;
87164932;Керамогранит Alma Ceramica Twin 60x60 см 1.8 м² матовый цвет черный;ALMA CERAMICA;1538;
89370423;Ступень Cersanit Misto 29.8x29.8 см цвет серый 13 шт.;CERSANIT;702;
82771242;Керамогранит Calacatta Oro 60x60 см 1.44 м² глянцевый цвет жёлтый;;1883;
90833425;Керамогранит Laparet Onyx Clowdy x9999282592 60x120см 1.44 м² цвет белый, цена за упаковку;LAPARET;2990;
87795393;Керамогранит Grasaro Softmarble 60x60 см 1.8 м² лаппатированный цвет бежевый;GRASARO;1555;
89367346;Глазурованный керамогранит Ceradim Calgary Grey 60x120 см 1.44 м² матовый цвет серый;CERADIM;2063;
89356610;Керамогранит Leopard 2601 Venato Soft 120x60 см 1.44 м² полированный цвет белый;LEOPARD;2043;
87964038;Керамогранит Concor Super Black 60x60 см 1.44 м² полированный цвет черный;CONCOR;2560;
89396430;Глазурованный керамогранит Arcadia Ceramica Elite Dark Grey Sugar 60x60 см 1.44 м² лаппатированный цвет темно-серый;ARCADIA CERAMICA;1916;
89390156;Глазурованный керамогранит Concrete Graphite 60x60 см 1.44 м² матовый цвет темно-серый;;2114;
89233822;Глазурованный керамогранит Alma Ceramica Wonderwood GFA92WDW44R 20x90 см 1.62 м² матовый цвет коричневый;ALMA CERAMICA;1655;
91333705;Керамогранит Granoland Cassini Onyx 60x120 60x120см 1.44 м² цвет бежевый светлый, цена за упаковку;GRANOLAND;2337.52;2034.05
89347921;Глазурованный керамогранит LB Ceramics Форсса 6246-0111 45x45 см 1.62 м² матовый цвет серый;LB CERAMICS;1096;
92030610;Керамогранит Ceradim Ocean х9999304553 60x120см цвет синий;CERADIM;1990;
89021580;Глазурованный керамогранит Alma Ceramica Hampton GFA2090HMP40R 20x90 см 1.62 м² матовый цвет бежевый;ALMA CERAMICA;1650;
